./input/MyInstancesSameToolSets/n=75,p=0.24,r=0.5,t=650,v0.csv;./input/Processed/ToolSetInt.csv
2;720;1440
Machine: 0
4;0;0;4;1;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
5;0;4;29;1;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
9;0;29;70;1;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
24;0;70;176;0;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
24;1;176;334;0;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
34;0;334;478;0;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
34;1;478;554;0;15,24,39,54,60,87,137,144,159,177,178,179,180,181,182,183,184,218,395,397,400,499,533,547,581,647,663,762,871,979,1085,1118,1287,1293,1509,1587,1596,1651,1668,1676,1925,2062,2063,2273,2827,2879,2941,2968,3345,3346,3384,3421,3734,3851,3852,4313,4314,4315,4316,4317,4318,4452,5417,5779,6445,6693,6861,6862,6863,6864,6865,6866,6867,6868,7381,7950,8555,8558,9032,9075,
37;0;554;642;0;15,24,39,54,60,87,100,137,144,146,159,177,178,179,180,181,182,183,184,218,245,288,289,290,291,300,314,351,395,397,400,499,533,547,581,647,663,871,1095,1118,1293,1361,1417,1481,1488,1540,1587,1668,1768,1919,1923,2062,2063,2117,2370,2910,2941,3345,3346,3698,4220,4313,4314,4315,4316,4317,4318,5050,5185,5373,5417,5418,5419,5420,5421,5422,5423,5424,5425,5426,
37;1;642;761;0;15,24,39,54,60,87,100,137,144,146,159,177,178,179,180,181,182,183,184,218,245,288,289,290,291,300,314,351,395,397,400,499,533,547,581,647,663,871,1095,1118,1293,1361,1417,1481,1488,1540,1587,1668,1768,1919,1923,2062,2063,2117,2370,2910,2941,3345,3346,3698,4220,4313,4314,4315,4316,4317,4318,5050,5185,5373,5417,5418,5419,5420,5421,5422,5423,5424,5425,5426,
49;0;1440;1588;0;15,24,29,39,54,60,87,100,137,144,146,159,175,177,178,179,180,181,182,183,184,206,218,245,280,288,289,290,291,300,314,351,364,395,397,400,412,496,499,512,516,533,547,581,632,647,663,741,871,1095,1118,1293,1361,1417,1481,1488,1540,1587,1668,1768,1919,1923,2062,2063,2117,2306,2910,2941,3345,3346,4135,4313,4314,4315,4316,4317,4318,4339,6175,6176,
